Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
66,1552801668,10.195.6.40,10195640,184,309,56671,16384,8192,Sun,Mar,1,47,48,76,1,0,20,56064890,24207209,16394258,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
67,1552801668,23.48.205.172,2348205172,51,44,2689,16384,8192,Sun,Mar,1,47,48,76,0,0,20,56064997,24207301,16394314,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
68,1552801669,10.0.2.15,100215,443,40,21129,16384,8192,Sun,Mar,1,47,48,76,0,0,19,56065088,24207353,16394352,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
69,1552801669,10.0.2.15,100215,443,612,20556,16384,8192,Sun,Mar,1,47,48,76,0,0,21,56065157,24207397,16394388,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
70,1552801669,23.48.205.172,2348205172,50,40,2692,16384,8192,Sun,Mar,1,47,49,76,0,0,20,56065213,24207443,16394461,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
71,1552801669,23.48.205.172,2348205172,158,186,2545,16384,8192,Sun,Mar,1,47,49,76,0,0,20,56065240,24207468,16394503,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
72,1552801669,10.0.2.15,100215,443,40,21127,16384,8192,Sun,Mar,1,47,49,76,1,0,20,56065292,24207517,16394559,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575254,1068246,420156713,1065078299,0,64,Web_Attack
73,1552801670,10.0.2.15,100215,443,91,21075,16384,8192,Sun,Mar,1,47,49,76,0,0,20,56065379,24207605,16394682,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575268,1068260,420158052,1065079946,0,64,Web_Attack
74,1552801670,23.48.205.172,2348205172,51,40,2690,16384,8192,Sun,Mar,1,47,49,76,0,0,20,56065403,24207629,16394720,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575268,1068260,420158052,1065079946,0,64,Web_Attack
75,1552801670,10.0.2.15,100215,443,217,20948,16384,8192,Sun,Mar,1,47,50,76,0,0,20,56065446,24207667,16394779,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575268,1068260,420158052,1065079946,0,64,Web_Attack
76,1552801670,23.48.205.172,2348205172,82,40,2689,16384,8192,Sun,Mar,1,47,50,76,0,0,20,56065475,24207689,16394812,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575268,1068260,420158052,1065079946,0,64,Web_Attack
77,1552801670,10.0.2.15,100215,443,314,20850,16384,8192,Sun,Mar,1,47,50,76,0,0,20,56065520,24207738,16394879,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575268,1068260,420158052,1065079946,0,64,Web_Attack
78,1552801671,23.48.205.172,2348205172,142,40,2688,16384,8192,Sun,Mar,1,47,50,76,0,0,20,56065556,24207774,16394928,0,46.4,31.8,153268,447753,2852229120,13695266816,120524,1224660,575268,1068260,420158052,1065079946,0,64,Web_Attack
79,1552801671,23.48.205.172,2348205172,68,117,2610,16384,8192,Sun,Mar,1,47,50,76,0,0,19,56065598,24207805,16394983,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
80,1552801671,10.0.2.15,100215,443,78,21085,16384,8192,Sun,Mar,1,47,51,76,0,0,22,56065665,24207848,16395055,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
81,1552801671,23.48.205.172,2348205172,77,40,2686,16384,8192,Sun,Mar,1,47,51,76,0,0,20,56065689,24207872,16395088,0,46.4,31.8,153268,447755,2852229120,13695422464,120524,1224664,575268,1068260,420158052,1065079946,0,64,Web_Attack
